(-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (9, 7) (-1, -1) (-1, -1) (-1, -1)
(-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1)
(-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1)
(-1, -1) (16, 30) (17, 28) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (34, 30) (-1, -1) (-1, -1) (-1, -1) (15, 30)
(16, 28) (17, 30) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (15, 30)
(-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (34, 32) (-1, -1) (-1, -1) (-1, -1) (-1, -1)
(15, 30) (-1, -1) (18, 27) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (29, 31) (-1, -1) (-1, -1) (-1, -1) (34, 29) (15, 29) (-1, -1) (15, 27) (-1, -1)
(-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (10, 8) (10, 7) (-1, -1)
(-1, -1) (-1, -1) (-1, -1) (14, 6) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (10, 8) (10, 7) (-1, -1)
(-1, -1) (16, 27) (11, 6) (14, 6) (-1, -1) (17, 26) (-1, -1) (-1, -1) (-1, -1) (29, 30) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (9, 8) (10, 8) (15, 28) (-1, -1)
(-1, -1) (-1, -1) (11, 6) (14, 7) (-1, -1) (17, 25) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (10, 8) (10, 9) (10, 7) (-1, -1)
(-1, -1) (-1, -1) (-1, -1) (14, 7) (-1, -1) (-1, -1) (13, 11) (-1, -1) (-1, -1) (29, 30) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (10, 8) (10, 9) (-1, -1) (-1, -1)
(-1, -1) (-1, -1) (11, 7) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (10, 9) (10, 10) (-1, -1) (-1, -1)
